"Chinese","Traditional","Pinyin","Definition","Result"
"迎","","yíng ","to welcome  / to meet  / to face  / to forge ahead (esp. in the face of difficulties)","True"
"您","","nín ","you (courteous, as opposed to informal 你)","True"
"帮忙","幫忙","bāng máng ","to help  / to lend a hand  / to do a favor  / to do a good turn","True"
"需要","","xū yào ","to need  / to want  / to demand  / to require  / requirement  / need","True"
"需","","xū ","to require  / to need  / to want  / necessity  / need","True"
"随便","隨便","suí biàn ","as one wishes  / as one pleases  / at random  / negligent  / casual  / wanton","True"
"随","隨","Suí <br />suí ","surname Sui<br />to follow  / to comply with  / varying according to...  / to allow  / subsequently","True"
"读","讀","dòu <br />dú ","comma  / phrase marked by pause<br />to read  / to study  / reading of word (i.e. pronunciation), similar to 拼音","True"
"意思","","yì si ","idea  / opinion  / meaning  / wish  / desire  / interest  / fun  / token of appreciation, affection etc  / CL: 個｜个 / to give as a small token  / to do sth as a gesture of goodwill etc","True"
"写","寫","xiě ","to write","True"
"难","難","nán <br />nàn ","difficult (to...)  / problem  / difficulty  / difficult  / not good<br />disaster  / distress  / to scold","True"
"思","","sī ","to think  / to consider","True"
"秒","","miǎo ","second (unit of time)  / arc second (angular measurement unit)  / (coll.) instantly","True"
"刻","","kè ","quarter (hour)  / moment  / to carve  / to engrave  / to cut  / oppressive  / classifier for short time intervals","True"
"差","","chā <br />chà <br />chāi ","difference  / discrepancy  / to differ  / error  / to err  / to make a mistake<br />to differ from  / to fall short of  / lacking  / wrong  / inferior<br />to send  / to commission  / messenger  / mission","True"
"小时","小時","xiǎo shí ","hour  / CL: 個｜个","True"
"分钟","分鐘","fēn zhōng ","minute","True"
"小","","xiǎo ","small  / tiny  / few  / young","True"
"时","時","Shí <br />shí ","surname Shi<br />o'clock  / time  / when  / hour  / season  / period","True"
"钟","鍾","Zhōng <br />zhōng <br />zhōng ","surname Zhong<br />handleless cup  / goblet  / to concentrate  / variant of 鐘｜钟<br />clock  / o'clock  / time as measured in hours and minutes  / bell  / CL: 架, 座","True"
"整","","zhěng ","exactly  / in good order  / whole  / complete  / entire  / in order  / orderly  / to repair  / to mend  / to renovate  / (coll.) to fix sb  / to give sb a hard time  / to mess with sb","True"
"杯","","bēi ","cup  / trophy cup  / classifier for certain containers of liquids: glass, cup","True"
"啤","","pí ","beer","True"
"德","","Dé <br />dé ","Germany  / German  / abbr. for 德國｜德国<br />virtue  / goodness  / morality  / ethics  / kindness  / favor  / character  / kind","True"
"德国","德國","Dé guó ","Germany  / German","True"
"啤酒","","pí jiǔ ","beer (loanword)  / CL: 杯, 瓶, 罐, 桶, 缸","True"
"果汁","","guǒ zhī ","fruit juice","True"
"汁","","zhī ","juice","True"
"香蕉","","xiāng jiāo ","banana  / CL: 枝, 根, 個｜个, 把","True"
"蛋糕","","dàn gāo ","cake  / CL: 塊｜块, 個｜个","True"
"蕉","","jiāo <br />qiáo ","banana<br />see 蕉萃","True"
"糕","","gāo ","cake","True"
"碗","","wǎn ","bowl  / cup  / CL: 隻｜只, 個｜个","True"
"杯子","","bēi zi ","cup  / glass  / CL: 個｜个, 隻｜只","True"
"盘子","盤子","pán zi ","tray  / plate  / dish  / CL: 個｜个","True"
"盘","盤","pán ","plate  / dish  / tray  / board  / hard drive (computing)  / to build  / to coil  / to check  / to examine  / to transfer (property)  / to make over  / classifier for food: dish, helping  / to coil  / classifier for coils of wire  / classifier for games of chess","True"
"筷子","","kuài zi ","chopsticks  / CL: 對｜对, 根, 把, 雙｜双","True"
"刀","","Dāo <br />dāo ","surname Dao<br />knife  / blade  / single-edged sword  / cutlass  / CL: 把 / (slang) dollar (loanword)  / classifier for sets of one hundred sheets (of paper)  / classifier for knife cuts or stabs","True"
"叉","","chā <br />chá <br />chǎ ","fork  / pitchfork  / prong  / pick  / cross  / intersect  / ""X""<br />to cross  / be stuck<br />to diverge  / to open (as legs)","True"
"筷","","kuài ","chopstick","True"
"勺子","","sháo zi ","scoop  / ladle  / CL: 把","True"
"勺","","sháo ","spoon  / ladle  / CL: 把 / abbr. for 公勺, centiliter (unit of volume)","True"
"室","","Shì <br />shì ","surname Shi<br />room  / work unit  / grave  / scabbard  / family or clan  / one of the 28 constellations of Chinese astronomy","True"
"办","辦","bàn ","to do  / to manage  / to handle  / to go about  / to run  / to set up  / to deal with","True"
"辆","輛","liàng ","classifier for vehicles","True"
"办公室","辦公室","bàn gōng shì ","office  / business premises  / bureau  / CL: 間｜间","True"
"瓶子","","píng zi ","bottle  / CL: 個｜个","True"
"照片","","zhào piàn ","photograph  / picture  / CL: 張｜张, 套, 幅","True"
"瓶","","píng ","bottle  / vase  / pitcher  / CL: 個｜个 / classifier for wine and liquids","True"
"片","","piān <br />piàn ","disk  / sheet<br />thin piece  / flake  / a slice  / film  / TV play  / to slice  / to carve thin  / partial  / incomplete  / one-sided  / classifier for slices, tablets, tract of land, area of water  / classifier for CDs, movies, DVDs etc  / used with numeral 一: classifier for scenario, scene, feeling, atmosphere, sound etc","True"
"鸟","鳥","niǎo ","bird  / CL: 隻｜只, 群 / (dialect) to pay attention to  / (intensifier) damned  / goddam","True"
"树","樹","shù ","tree  / CL: 棵 / to cultivate  / to set up","True"
"步","","Bù <br />bù ","surname Bu<br />a step  / a pace  / walk  / march  / stages in a process  / situation","True"
"跑","","páo <br />pǎo ","(of an animal) to paw (the ground)<br />to run  / to run away  / to escape  / to run around (on errands etc)  / (of a gas or liquid) to leak or evaporate  / (verb complement) away  / off","True"
"泳","","yǒng ","swimming  / to swim","True"
"游泳","","yóu yǒng ","swimming  / to swim","True"
"跑步","","pǎo bù ","to run  / to jog  / (military) to march at the double","True"
"踢","","tī ","to kick  / to play (e.g. soccer)  / (slang) butch (in a lesbian relationship)","True"
"足球","","zú qiú ","soccer ball  / a football  / CL: 個｜个 / soccer  / football","True"
"打","","dá <br />dǎ ","dozen (loanword)<br />to beat  / to strike  / to hit  / to break  / to type  / to mix up  / to build  / to fight  / to fetch  / to make  / to tie up  / to issue  / to shoot  / to calculate  / to play (a game)  / since  / from","True"
"篮球","籃球","lán qiú ","basketball  / CL: 個｜个, 隻｜只","True"
"足","","jù <br />zú ","excessive<br />foot  / to be sufficient  / ample","True"
"篮","籃","lán ","basket (receptacle)  / basket (in basketball)","True"
"球","","qiú ","ball  / sphere  / globe  / CL: 個｜个 / ball game  / match  / CL: 場｜场","True"
"运动","運動","yùn dòng ","to move  / to exercise  / sports  / exercise  / motion  / movement  / campaign  / CL: 場｜场","True"
"马","馬","Mǎ <br />mǎ ","surname Ma  / abbr. for Malaysia 馬來西亞｜马来西亚<br />horse  / CL: 匹 / horse or cavalry piece in Chinese chess  / knight in Western chess","True"
"骑","騎","jì <br />qí ","(Taiwan) saddle horse  / mounted soldier<br />to ride (an animal or bike)  / to sit astride  / classifier for saddle-horses","True"
"运","運","yùn ","to move  / to transport  / to use  / to apply  / fortune  / luck  / fate","True"
"动","動","dòng ","(of sth) to move  / to set in movement  / to displace  / to touch  / to make use of  / to stir (emotions)  / to alter  / abbr. for 動詞｜动词, verb","True"
"吧","","bā <br />ba ","bar (loanword) (serving drinks, or providing Internet access etc)  / to puff (on a pipe etc)  / (onom.) bang  / abbr. for 貼吧｜贴吧<br />(modal particle indicating suggestion or surmise)  / ...right?  / ...OK?  / ...I presume.","True"
"出去","","chū qù ","to go out","True"
"时间","時間","shí jiān ","time  / period  / CL: 段","True"
"时候","時候","shí hou ","time  / length of time  / moment  / period","True"
"空","","kōng <br />kòng ","empty  / air  / sky  / in vain<br />to empty  / vacant  / unoccupied  / space  / leisure  / free time","True"
"来","來","lái ","to come  / to arrive  / to come round  / ever since  / next","True"
"候","","hòu ","to wait  / to inquire after  / to watch  / season  / climate  / (old) period of five days","True"
"过","過","Guò <br />guò <br />guo ","surname Guo<br />to cross  / to go over  / to pass (time)  / to celebrate (a holiday)  / to live  / to get along  / excessively  / too-<br />(experienced action marker)","True"
"一起","","yī qǐ ","in the same place  / together  / with  / altogether (in total)","True"
"不好意思","","bù hǎo yì si ","to feel embarrassed  / to find it embarrassing  / to be sorry (for inconveniencing sb)","True"
"告诉","告訴","gào sù <br />gào su ","to press charges  / to file a complaint<br />to tell  / to inform  / to let know","True"
"告","","gào ","to say  / to tell  / to announce  / to report  / to denounce  / to file a lawsuit  / to sue","True"
"诉","訴","sù ","to complain  / to sue  / to tell","True"
"约会","約會","yuē huì ","appointment  / engagement  / date  / CL: 次, 個｜个 / to arrange to meet","True"
"浪漫","","làng màn ","romantic","True"
"浪","","làng ","wave  / breaker  / unrestrained  / dissipated","True"
"漫","","màn ","free  / unrestrained  / to inundate","True"
"该","該","gāi ","should  / ought to  / probably  / must be  / to deserve  / to owe  / to be sb's turn to do sth  / that  / the above-mentioned","True"
"病","","bìng ","illness  / CL: 場｜场 / disease  / to fall ill  / defect","True"
"舒","","Shū <br />shū ","surname Shu<br />to stretch  / to unfold  / to relax  / leisurely","True"
"应","應","Yìng <br />yīng <br />yìng ","surname Ying<br />to agree (to do sth)  / should  / ought to  / must  / (legal) shall<br />to answer  / to respond  / to comply with  / to deal or cope with","True"
"生病","","shēng bìng ","to fall ill","True"
"应该","應該","yīng gāi ","ought to  / should  / must","True"
"舒服","","shū fu ","comfortable  / feeling well","True"
"疼","","téng ","(it) hurts  / sore  / to love dearly","True"
"头","頭","tóu <br />tou ","head  / hair style  / the top  / end  / beginning or end  / a stub  / remnant  / chief  / boss  / side  / aspect  / first  / leading  / classifier for pigs or livestock  / CL: 個｜个<br />suffix for nouns","True"
"休息","","xiū xi ","rest  / to rest","True"
"休","","Xiū <br />xiū ","surname Xiu<br />to rest  / to stop doing sth for a period of time  / to cease  / (imperative) don't","True"
"息","","xī ","breath  / news  / interest (on an investment or loan)  / to cease  / to stop  / to rest  / Taiwan pr. [xi2]","True"
"肚子","","dù zi ","belly  / abdomen  / stomach  / CL: 個｜个","True"
"肚","","dǔ <br />dù ","tripe<br />belly","True"
"药","葯","yào <br />yào ","leaf of the iris  / variant of 藥｜药<br />medicine  / drug  / substance used for a specific purpose (e.g. poisoning, explosion, fermenting)  / CL: 種｜种, 服, 味 / to poison","True"
"一定","","yī dìng ","surely  / certainly  / necessarily  / fixed  / a certain (extent etc)  / given  / particular  / must","True"
"感冒","","gǎn mào ","to catch cold  / (common) cold  / CL: 場｜场, 次 / (coll.) to be interested in (often used in the negative)  / (Tw) to detest  / can't stand","True"
"感","","gǎn ","to feel  / to move  / to touch  / to affect  / feeling  / emotion  / (suffix) sense of ~","True"
"定","","dìng ","to set  / to fix  / to determine  / to decide  / to order","True"
"冒","","Mào <br />mào ","surname Mao<br />to emit  / to give off  / to send out (or up, forth)  / to brave  / to face  / reckless  / to falsely adopt (sb's identity etc)  / to feign  / (literary) to cover","True"
"留","","liú ","to leave (a message etc)  / to retain  / to stay  / to remain  / to keep  / to preserve","True"
"请假","請假","qǐng jià ","to request leave of absence","True"
"发烧","發燒","fā shāo ","to have a high temperature (from illness)  / to have a fever","True"
"别","別","Bié <br />bié <br />biè ","surname Bie<br />to leave  / to depart  / to separate  / to distinguish  / to classify  / other  / another  / don't ...!  / to pin  / to stick (sth) in<br />to make sb change their ways, opinions etc","True"
"发","發","fā <br />fà ","to send out  / to show (one's feeling)  / to issue  / to develop  / to make a bundle of money  / classifier for gunshots (rounds)<br />hair  / Taiwan pr. [fa3]","True"
"假","","jiǎ <br />jià ","fake  / false  / artificial  / to borrow  / if  / suppose<br />vacation","True"
"烧","燒","shāo ","to burn  / to cook  / to stew  / to bake  / to roast  / to heat  / to boil (tea, water etc)  / fever  / to run a temperature  / (coll.) to let things go to one's head","True"
"派","","pài ","clique  / school  / group  / faction  / to dispatch  / to send  / to assign  / to appoint  / pi (Greek letter Ππ)  / the circular ratio pi = 3.1415926  / (loanword) pie","True"
"能","","Néng <br />néng ","surname Neng<br />can  / to be able to  / might possibly  / ability  / (physics) energy","True"
"生日","","shēng rì ","birthday  / CL: 個｜个","True"
"派对","派對","pài duì ","party (loanword)","True"
"打扮","","dǎ ban ","to decorate  / to dress  / to make up  / to adorn  / manner of dressing  / style of dress","True"
"扮","","bàn ","to disguise oneself as  / to dress up  / to play (a role)  / to put on (an expression)","True"
"希望","","xī wàng ","to wish for  / to desire  / hope  / CL: 個｜个","True"
"跟","","gēn ","heel  / to follow closely  / to go with  / (of a woman) to marry sb  / with  / compared with  / to  / towards  / and (joining two nouns)","True"
"希","","xī ","to hope  / to admire  / variant of 稀","True"
"望","","wàng <br />wàng ","full moon  / to hope  / to expect  / to visit  / to gaze (into the distance)  / to look towards  / towards<br />15th day of month (lunar calendar)  / old variant of 望","True"
"大家","","dà jiā ","everyone  / influential family  / great expert","True"
"公司","","gōng sī ","(business) company  / company  / firm  / corporation  / incorporated  / CL: 家","True"
"正在","","zhèng zài ","just at (that time)  / right in (that place)  / right in the middle of (doing sth)","True"
"正","","zhēng <br />zhèng ","first month of the lunar year<br />straight  / upright  / proper  / main  / principal  / to correct  / to rectify  / exactly  / just (at that time)  / right (in that place)  / (math.) positive","True"
"司","","Sī <br />sī ","surname Si<br />to take charge of  / to manage  / department (under a ministry)","True"
"事情","","shì qing ","affair  / matter  / thing  / business  / CL: 件, 樁｜桩","True"
"才","","cái <br />cái ","ability  / talent  / sb of a certain type  / a capable individual  / only  / only then  / just now<br />a moment ago  / just now  / (indicating sth happening later than expected)  / (preceded by a clause of condition or reason) not until  / (followed by a numerical clause) only","True"
"事","","shì ","matter  / thing  / item  / work  / affair  / CL: 件, 樁｜桩, 回","True"
"情","","qíng ","feeling  / emotion  / passion  / situation","True"
"费","費","Fèi <br />fèi ","surname Fei<br />to cost  / to spend  / fee  / wasteful  / expenses","True"
"完","","wán ","to finish  / to be over  / whole  / complete  / entire","True"
"经","經","Jīng <br />jīng ","surname Jing<br />classics  / sacred book  / scripture  / to pass through  / to undergo  / to bear  / to endure  / warp (textile)  / longitude  / menstruation  / channel (TCM)  / abbr. for economics 經濟｜经济","True"
"已","","yǐ ","already  / to stop  / then  / afterwards","True"
"已经","已經","yǐ jīng ","already","True"
"小费","小費","xiǎo fèi ","tip  / gratuity","True"
"饱","飽","bǎo ","to eat till full  / satisfied","True"
"好吃","","hǎo chī <br />hào chī ","tasty  / delicious<br />to be fond of eating  / to be gluttonous","True"
"真","","zhēn ","really  / truly  / indeed  / real  / true  / genuine","True"
"饿","餓","è ","to be hungry  / hungry  / to starve (sb)","True"
"好喝","","hǎo hē ","tasty (drinks)","True"
"渴","","kě ","thirsty","True"
"巧克力","","qiǎo kè lì ","chocolate (loanword)  / CL: 塊｜块","True"
"味道","","wèi dao ","flavor  / smell  / hint of","True"
"甜点","甜點","tián diǎn ","dessert","True"
"甜","","tián ","sweet","True"
"巧","","qiǎo ","opportunely  / coincidentally  / as it happens  / skillful  / timely","True"
"克","","kè <br />Kè <br />kēi ","to be able to  / to subdue  / to restrain  / to overcome  / gram  / Tibetan unit of land area, about 6 ares<br />Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God<br />to scold  / to beat","True"
"力","","Lì <br />lì ","surname Li<br />power  / force  / strength  / ability  / strenuously","True"
"试","試","shì ","to test  / to try  / experiment  / examination  / test","True"
"蓝","藍","Lán <br />lán ","surname Lan<br />blue  / indigo plant","True"
"条","條","tiáo ","strip  / item  / article  / clause (of law or treaty)  / classifier for long thin things (ribbon, river, road, trousers etc)","True"
"裙","","qún ","skirt  / CL: 條｜条","True"
"裙子","","qún zi ","skirt  / CL: 條｜条","True"
"双","雙","Shuāng <br />shuāng ","surname Shuang<br />two  / double  / pair  / both  / even (number)","True"
"鞋子","","xié zi ","shoe","True"
"意大利","","Yì dà lì ","Italy  / Italian","True"
"色","","sè <br />shǎi ","color  / CL: 種｜种 / look  / appearance  / sex<br />color  / dice","True"
"鞋","","xié ","shoe  / CL: 雙｜双, 隻｜只","True"
"利","","Lì <br />lì ","surname Li<br />sharp  / favorable  / advantage  / benefit  / profit  / interest  / to do good to  / to benefit","True"
"比","","Bǐ <br />bǐ <br />bì ","Belgium  / Belgian  / abbr. for 比利時｜比利时<br />(particle used for comparison and ""-er than"")  / to compare  / to contrast  / to gesture (with hands)  / ratio<br />to associate with  / to be near","True"
"衬衫","襯衫","chèn shān ","shirt  / blouse  / CL: 件","True"
"衬","襯","chèn ","(of garments) against the skin  / to line  / lining  / to contrast with  / to assist financially","True"
"衫","","shān ","garment  / jacket with open slits in place of sleeves","True"
"裤子","褲子","kù zi ","trousers  / pants  / CL: 條｜条","True"
"好看","","hǎo kàn ","good-looking  / nice-looking  / good (of a movie, book, TV show etc)  / embarrassed  / humiliated","True"
"裤","褲","kù ","underpants  / trousers  / pants","True"
"质","質","zhì ","character  / nature  / quality  / plain  / to pawn  / pledge  / hostage  / to question  / Taiwan pr. [zhi2]","True"
"量","","liáng <br />liàng ","to measure<br />capacity  / quantity  / amount  / to estimate  / abbr. for 量詞｜量词, classifier (in Chinese grammar)  / measure word","True"
"质量","質量","zhì liàng ","quality  / (physics) mass  / CL: 個｜个","True"
"朵","","duǒ ","flower  / earlobe  / fig. item on both sides  / classifier for flowers, clouds etc","True"
"睛","","jīng ","eye  / eyeball","True"
"绿","綠","lǜ ","green","True"
"耳","","ěr ","ear  / handle (archaeology)  / and that is all (classical Chinese)","True"
"眼","","yǎn ","eye  / small hole  / crux (of a matter)  / CL: 隻｜只, 雙｜双 / classifier for big hollow things (wells, stoves, pots etc)","True"
"耳朵","","ěr duo ","ear  / CL: 隻｜只, 個｜个, 對｜对 / handle (on a cup)","True"
"眼睛","","yǎn jing ","eye  / CL: 隻｜只, 雙｜双","True"
"头发","頭髮","tóu fa ","hair (on the head)","True"
"脸","臉","liǎn ","face  / CL: 張｜张, 個｜个","True"
"又","","yòu ","(once) again  / also  / both... and...  / and yet  / (used for emphasis) anyway","True"
"黑","","Hēi <br />hēi ","abbr. for Heilongjiang province 黑龍江｜黑龙江<br />black  / dark  / sinister  / secret  / shady  / illegal  / to hide (sth) away  / to vilify  / (loanword) to hack (computing)","True"
"嘴巴","","zuǐ ba ","mouth  / CL: 張｜张 / slap in the face  / CL: 個｜个","True"
"鼻子","","bí zi ","nose  / CL: 個｜个, 隻｜只","True"
"脚","腳","jiǎo ","foot  / leg (of an animal or an object)  / base (of an object)  / CL: 雙｜双, 隻｜只 / classifier for kicks","True"
"嘴","","zuǐ ","mouth  / beak  / nozzle  / spout (of teapot etc)  / CL: 張｜张, 個｜个","True"
"鼻","","bí ","nose","True"
"巴","","Bā <br />bā ","Ba state during Zhou dynasty (in east of modern Sichuan)  / abbr. for east Sichuan or Chongqing  / surname Ba  / abbr. for Palestine or Palestinian  / abbr. for Pakistan<br />to long for  / to wish  / to cling to  / to stick to  / sth that sticks  / close to  / next to  / spread open  / informal abbr. for bus 巴士 / bar (unit of pressure)  / nominalizing suffix on certain nouns, such as 尾巴, tail","True"
"远","遠","yuǎn <br />yuàn ","far  / distant  / remote  / (intensifier in a comparison) by far  / much (lower etc)<br />to distance oneself from (classical)","True"
"离","","chī <br />Lí <br />lí ","mythical beast (archaic)<br />surname Li<br />to leave  / to part from  / to be away from  / (in giving distances) from  / without (sth)  / independent of  / one of the Eight Trigrams 八卦, symbolizing fire  / ☲","True"
"走路","","zǒu lù ","to walk  / to go on foot","True"
"开车","開車","kāi chē ","to drive a car","True"
"飞机","飛機","fēi jī ","airplane  / CL: 架","True"
"机场","機場","jī chǎng ","airport  / airfield  / CL: 家, 處｜处","True"
"飞","飛","fēi ","to fly","True"
"场","場","cháng <br />chǎng ","threshing floor  / classifier for events and happenings: spell, episode, bout<br />large place used for a specific purpose  / stage  / scene (of a play)  / classifier for sporting or recreational activities  / classifier for number of exams","True"
"靠","","kào ","to lean against or on  / to stand by the side of  / to come near to  / to depend on  / to trust  / to fuck (vulgar)  / traditional military costume drama where the performers wear armor (old)","True"
"停","","tíng ","to stop  / to halt  / to park (a car)","True"
"火车","火車","huǒ chē ","train  / CL: 列, 節｜节, 班, 趟","True"
"票","","piào ","ticket  / ballot  / banknote  / CL: 張｜张 / person held for ransom  / amateur performance of Chinese opera  / classifier for groups, batches, business transactions","True"
"机票","機票","jī piào ","air ticket  / passenger ticket  / CL: 張｜张","True"
"火","","Huǒ <br />huǒ ","surname Huo<br />fire  / urgent  / ammunition  / fiery or flaming  / internal heat (Chinese medicine)  / hot (popular)  / classifier for military units (old)","True"
"迟到","遲到","chí dào ","to arrive late","True"
"让","讓","ràng ","to yield  / to permit  / to let sb do sth  / to have sb do sth  / to make sb (feel sad etc)  / by (indicates the agent in a passive clause, like 被)","True"
"怎么办","怎麼辦","zěn me bàn ","what's to be done","True"
"迟","遲","Chí <br />chí ","surname Chi<br />late  / delayed  / slow","True"
"冷","","Lěng <br />lěng ","surname Leng<br />cold","True"
"晴","","qíng ","clear  / fine (weather)","True"
"天气","天氣","tiān qì ","weather","True"
"雨","","yǔ <br />yù ","rain  / CL: 陣｜阵, 場｜场<br />to rain  / (of rain, snow etc) to fall  / to precipitate  / to wet","True"
"雪","","Xuě <br />xuě ","surname Xue<br />snow  / snowfall  / CL: 場｜场 / to have the appearance of snow  / to wipe away, off or out  / to clean","True"
"阴","陰","Yīn <br />yīn ","surname Yin<br />overcast (weather)  / cloudy  / shady  / Yin (the negative principle of Yin and Yang)  / negative (electric.)  / feminine  / moon  / implicit  / hidden  / genitalia","True"
"着","著","zhāo <br />zháo <br />zhe <br />zhuó ","(chess) move  / trick  / all right!  / (dialect) to add<br />to touch  / to come in contact with  / to feel  / to be affected by  / to catch fire  / to burn  / (coll.) to fall asleep  / (after a verb) hitting the mark  / succeeding in<br />aspect particle indicating action in progress<br />to wear (clothes)  / to contact  / to use  / to apply","True"
"伞","傘","sǎn <br />sǎn ","umbrella  / parasol  / CL: 把<br />damask silk  / variant of 傘｜伞","True"
"带","帶","dài ","band  / belt  / girdle  / ribbon  / tire  / area  / zone  / region  / CL: 條｜条 / to wear  / to carry  / to take along  / to bear (i.e. to have)  / to lead  / to bring  / to look after  / to raise","True"
"外面","","wài miàn ","outside (also pr. [wai4 mian5] for this sense)  / surface  / exterior  / external appearance","True"
"可能","","kě néng ","might (happen)  / possible  / probable  / possibility  / probability  / maybe  / perhaps  / CL: 個｜个","True"
"刮","","guā <br />guā ","to scrape  / to blow  / to shave  / to plunder  / to extort<br />to blow (of the wind)","True"
"风","風","fēng ","wind  / news  / style  / custom  / manner  / CL: 陣｜阵, 絲｜丝","True"
"如果","","rú guǒ ","if  / in case  / in the event that","True"
"就","","jiù ","at once  / right away  / only  / just (emphasis)  / as early as  / already  / as soon as  / then  / in that case  / as many as  / even if  / to approach  / to move towards  / to undertake  / to engage in  / to suffer  / subjected to  / to accomplish  / to take advantage of  / to go with (of foods)  / with regard to  / concerning","True"
"从来","從來","cóng lái ","always  / at all times  / never (if used in negative sentence)","True"
"如","","rú ","as  / as if  / such as","True"
"里面","裡面","lǐ miàn ","inside  / interior  / also pr. [li3 mian5]","True"
"然","","rán ","correct  / right  / so  / thus  / like this  / -ly","True"
"但","","dàn ","but  / yet  / however  / only  / merely  / still","True"
"虽","雖","suī ","although  / even though","True"
"短","","duǎn ","short  / brief  / to lack  / weak point  / fault","True"
"长","長","cháng <br />zhǎng ","length  / long  / forever  / always  / constantly<br />chief  / head  / elder  / to grow  / to develop  / to increase  / to enhance","True"
"虽然","雖然","suī rán ","although  / even though  / even if","True"
"但是","","dàn shì ","but  / however","True"
"红","紅","Hóng <br />hóng ","surname Hong<br />red  / popular  / revolutionary  / bonus","True"
"颜色","顏色","yán sè ","color  / countenance  / appearance  / facial expression  / pigment  / dyestuff","True"
"穿","","chuān ","to wear  / to put on  / to dress  / to bore through  / to pierce  / to perforate  / to penetrate  / to pass through  / to thread","True"
"颜","顏","Yán <br />yán ","surname Yan<br />color  / face  / countenance","True"
"黄","黃","Huáng <br />huáng ","surname Huang or Hwang<br />yellow  / pornographic  / to fall through","True"
"手表","手錶","shǒu biǎo ","wrist watch  / CL: 塊｜块, 隻｜只, 個｜个","True"
"卖","賣","mài ","to sell  / to betray  / to spare no effort  / to show off or flaunt","True"
"帽子","","mào zi ","hat  / cap  / (fig.) label  / bad name  / CL: 頂｜顶","True"
"帽","","mào ","hat  / cap","True"
"表","","biǎo <br />biǎo ","exterior surface  / family relationship via females  / to show (one's opinion)  / a model  / a table (listing information)  / a form  / a meter (measuring sth)<br />wrist or pocket watch","True"
"紫","","zǐ ","purple  / violet  / amethyst  / Lithospermum erythrorhizon (flowering plant whose root provides red purple dye)  / Japanese: murasaki","True"
"绍","紹","Shào <br />shào ","surname Shao<br />to continue  / to carry on","True"
"介","","jiè ","to introduce  / to lie between  / between  / shell  / armor","True"
"介绍","介紹","jiè shào ","to introduce (sb to sb)  / to give a presentation  / to present (sb for a job etc)  / introduction","True"
"帅","帥","Shuài <br />shuài ","surname Shuai<br />handsome  / graceful  / smart  / commander in chief  / (coll.) cool!  / sweet!","True"
"笑","","xiào ","laugh  / smile  / CL: 個｜个","True"
"说话","說話","shuō huà ","to speak  / to say  / to talk  / to gossip  / to tell stories  / talk  / word","True"
"聪明","聰明","cōng ming ","intelligent  / clever  / bright  / smart  / acute (of sight and hearing)","True"
"别人","別人","bié ren ","other people  / others  / other person","True"
"不但","","bù dàn ","not only (... but also...)","True"
"而且","","ér qiě ","(not only ...) but also  / moreover  / in addition  / furthermore","True"
"聪","聰","cōng ","quick at hearing  / wise  / clever  / sharp-witted  / intelligent  / acute","True"
"而","","ér ","and  / as well as  / and so  / but (not)  / yet (not)  / (indicates causal relation)  / (indicates change of state)  / (indicates contrast)","True"
"且","","qiě ","and  / moreover  / yet  / for the time being  / to be about to  / both (... and...)","True"
"春","","Chūn <br />chūn ","surname Chun<br />spring (season)  / gay  / joyful  / youthful  / love  / lust  / life","True"
"快乐","快樂","kuài lè ","happy  / merry","True"
"节日","節日","jié rì ","holiday  / festival  / CL: 個｜个","True"
"春节","春節","Chūn jié ","Spring Festival (Chinese New Year)","True"
"礼物","禮物","lǐ wù ","gift  / present  / CL: 件, 個｜个, 份","True"
"送","","sòng ","to deliver  / to carry  / to give (as a present)  / to present (with)  / to see off  / to send","True"
"新年","","xīn nián ","New Year  / CL: 個｜个","True"
"白酒","","bái jiǔ ","baijiu, a spirit usually distilled from sorghum","True"
"礼","禮","Lǐ <br />lǐ ","surname Li  / abbr. for 禮記｜礼记, Classic of Rites<br />gift  / rite  / ceremony  / CL: 份 / propriety  / etiquette  / courtesy","True"
"物","","wù ","thing  / object  / matter  / abbr. for physics 物理","True"
"干杯","乾杯","gān bēi ","to drink a toast  / Cheers! (proposing a toast)  / Here's to you!  / Bottoms up!  / lit. dry cup","True"
"祝","","Zhù <br />zhù ","surname Zhu<br />to wish  / to express good wishes  / to pray  / (old) wizard","True"
"法国","法國","Fǎ guó ","France  / French","True"
"红酒","","hóng jiǔ","Red wine","False"
"法","","Fǎ <br />fǎ ","France  / French  / abbr. for 法國｜法国 / Taiwan pr. [Fa4]<br />law  / method  / way  / Buddhist teaching  / Legalist","True"
"赛","賽","sài ","to compete  / competition  / match  / to surpass  / better than  / superior to  / to excel","True"
"练","練","liàn ","to practice  / to train  / to drill  / to perfect (one's skill)  / exercise","True"
"练习","練習","liàn xí ","to practice  / exercise  / drill  / practice  / CL: 個｜个","True"
"比赛","比賽","bǐ sài ","competition (sports etc)  / match  / CL: 場｜场, 次 / to compete","True"
"好在","","hǎo zài ","luckily  / fortunately","True"
"乒乓球","","pīng pāng qiú ","table tennis  / ping-pong  / table tennis ball  / CL: 個｜个","True"
"乒","","pīng ","(onom.) ping  / bing","True"
"乓","","pāng ","(onom.) bang","True"
"参加","參加","cān jiā ","to participate  / to take part  / to join","True"
